Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho
147	1	-7606.97	-7606.96	-0.00464269	0.004642693
148	0	-7607.03	-7607.02	-0.00467227	0.00467227
149	1	-7607.74	-7607.73	-0.00445865	0.004458651
150	0	-7607	-7607	-0.00466233	0.004662333
151	1	-7607.11	-7607.1	-0.00469519	0.004695192
152	0	-7607.21	-7607.2	-0.00471614	0.004716144
153	1	-7606.99	-7606.99	-0.00458576	0.004585759
154	0	-7606.98	-7606.97	-0.00464808	0.004648084
155	1	-7607.07	-7607.07	-0.00468593	0.004685926
156	0	-7606.97	-7606.96	-0.00464144	0.004641437
157	1	-7606.96	-7606.96	-0.00460909	0.004609091
158	0	-7607.13	-7607.12	-0.00469956	0.004699556
159	1	-7606.96	-7606.96	-0.00463343	0.004633431
160	0	-7607.05	-7607.04	-0.00456546	0.004565459
161	1	-7608.41	-7608.41	-0.00485075	0.004850751
162	0	-7608.07	-7608.06	-0.00482125	0.004821253
163	1	-7607.08	-7607.07	-0.00468734	0.004687338
164	0	-7606.96	-7606.95	-0.00463045	0.004630448
165	1	-7607.36	-7607.36	-0.00474192	0.004741922
166	0	-7607.04	-7607.03	-0.00456904	0.004569041
167	1	-7607.17	-7607.16	-0.00470824	0.00470824
168	0	-7606.98	-7606.97	-0.00464877	0.004648768
169	1	-7607.1	-7607.1	-0.0046933	0.004693304
170	0	-7607.32	-7607.31	-0.00451064	0.004510644
171	1	-7608.2	-7608.19	-0.00441721	0.004417213
172	0	-7607.39	-7607.39	-0.00474576	0.004745764
173	1	-7607.05	-7607.05	-0.0046804	0.004680401
174	0	-7607.29	-7607.28	-0.00451488	0.004514882
175	1	-7606.96	-7606.96	-0.00460971	0.004609712
176	0	-7607.16	-7607.15	-0.00470591	0.004705913
177	1	-7606.98	-7606.98	-0.00459246	0.004592457
178	0	-7607.21	-7607.2	-0.00471614	0.004716145
179	1	-7607.78	-7607.77	-0.00479324	0.004793243
180	0	-7608.13	-7608.13	-0.00482729	0.00482729
181	1	-7607.63	-7607.63	-0.00447005	0.004470053
182	0	-7607.06	-7607.05	-0.00468131	0.004681315
183	1	-7608.1	-7608.1	-0.00442502	0.004425018
184	0	-7608.15	-7608.14	-0.00482853	0.004828534
185	1	-7607	-7606.99	-0.00466048	0.004660482
186	0	-7607.04	-7607.03	-0.00467439	0.004674388
187	1	-7609.21	-7609.2	-0.00434766	0.004347656
188	0	-7608.7	-7608.7	-0.00437985	0.004379847
189	1	-7607.22	-7607.22	-0.00452655	0.004526547
190	0	-7607.02	-7607.02	-0.00457295	0.00457295
191	1	-7607.36	-7607.35	-0.0047412	0.004741202
192	0	-7610.96	-7610.96	-0.00500641	0.005006409
193	1	-7606.96	-7606.96	-0.00460974	0.004609743
194	0	-7607.15	-7607.15	-0.00453924	0.004539237
195	1	-7607.2	-7607.19	-0.00471398	0.004713977
196	0	-7607.31	-7607.3	-0.00473321	0.004733212
197	1	-7606.96	-7606.95	-0.0046304	0.004630397
198	0	-7607.02	-7607.02	-0.00466912	0.004669121
199	1	-7607.35	-7607.35	-0.00450533	0.004505326
200	0	-7607.37	-7607.36	-0.00474216	0.00474216
201	1	-7608.05	-7608.04	-0.00442957	0.004429567
